month,total_folios_crore,equity_folios_crore,debt_folios_crore,hybrid_folios_crore,others_folios_crore
01-01-2022,13.26,9.28,1.86,0.8,1.33
01-04-2022,13.91,9.74,1.95,0.83,1.39
01-07-2022,13.85,9.69,1.94,0.83,1.38
01-10-2022,14.12,9.88,1.98,0.85,1.41
01-01-2023,14.81,10.37,2.07,0.89,1.48
01-04-2023,15.54,10.88,2.18,0.93,1.55
01-07-2023,16.28,11.4,2.28,0.98,1.63
01-10-2023,16.72,11.7,2.34,1,1.67
01-01-2024,17.78,12.45,2.49,1.07,1.78
01-04-2024,18.85,13.2,2.64,1.13,1.89
01-07-2024,19.98,13.99,2.8,1.2,2
01-10-2024,21.62,15.13,3.03,1.3,2.16
01-12-2024,22.89,16.02,3.2,1.37,2.29
01-01-2025,23.1,16.17,3.23,1.39,2.31
01-03-2025,23.45,16.42,3.28,1.41,2.35
01-04-2025,23.89,16.72,3.34,1.43,2.39
01-07-2025,24.57,17.2,3.44,1.47,2.46
01-08-2025,24.89,17.42,3.48,1.49,2.49
01-09-2025,25.19,17.63,3.53,1.51,2.52
01-10-2025,25.6,17.92,3.58,1.54,2.56
01-12-2025,26.12,18.28,3.66,1.57,2.61
